LF Nummer;Hauptsparte;Sparte;Artikel;Groesse;Preis;Flasche;GDID;MK;MF;ME
50493;Getraenke;AFG;Darbo Holunderblueten Sirup;500;7,5;FALSE;1483;0;0;0
50493;Getraenke;AFG;Himbeer Sirup;1500;4,1;FALSE;1491;0;0;0
50493;Getraenke;AFG;Orangensaft Frisch 1 Liter;1000;7,9;FALSE;866;0;0;0
50493;Getraenke;AFG;Pepsi Cola 0,33;330;4,1;TRUE;723;0;0;0
50493;Getraenke;AFG;Pepsi Light 0,33;330;4,1;TRUE;724;0;0;0
50493;Getraenke;AFG;Rauch Apfelsaft 0,2 Liter;200;4,1;TRUE;631;0;0;0
50493;Getraenke;AFG;Rauch Multivitamin 0,2 Liter;200;4,1;TRUE;934;0;0;0
50493;Getraenke;AFG;Rauch Orange 0,2 Liter;200;4,1;TRUE;923;0;0;0
50493;Getraenke;AFG;Rauch Orange fuer Sekt Orange 0,1 l /10EH;1000;3,7;FALSE;961;0;0;0
50493;Getraenke;AFG;Rauch schwarze Johannisbeere 0,2 Liter;200;4,1;TRUE;935;0;0;0
50493;Getraenke;AFG;Schweppes Bitter Lemon Flaschen 0,20 l;200;4,1;TRUE;962;0;0;0
50493;Getraenke;AFG;Schweppes Ginger Beer Flaschen 0,20 l;200;4,1;TRUE;963;0;0;0
50493;Getraenke;AFG;Schweppes Tonic Water Flaschen 0,20 l;200;4,1;TRUE;980;0;0;0
50493;Getraenke;AFG;Voeslauer prickeld 1,00 l;1000;0,2;FALSE;88;0;0;0
50493;Getraenke;AFG;Voeslauer prickelnd 0,33;330;3,8;TRUE;172;0;0;0
50493;Getraenke;AFG;Voeslauer still 0,33;330;3,8;TRUE;171;0;0;0
50493;Getraenke;AFG;Zitronensaft Frisch 1 Liter;1000;4,1;FALSE;804;0;0;0
50493;Getraenke;AFG;Zuckerrohrsirup;750;7,9;FALSE;764;0;0;0
50493;Getraenke;Bier;Null komma Josef 0,33 MW;330;4,4;TRUE;1526;0;0;0
50493;Getraenke;Bier;Ottakringer Pils 0,33 MW;330;4,4;TRUE;1524;0;0;0
50493;Getraenke;Bier;Ottakringer Zitrus Radler 0,33 EW;330;4,4;TRUE;1525;0;0;0
50493;Getraenke;Sekt / Champagner;Kattus Cuvee No 1, Sekt 70 EH;750;7,5;FALSE;1489;0;0;0
50493;Getraenke;Sekt / Champagner;Kattus Cuvee Rose STOP;750;7,4;FALSE;1107;0;0;0
50493;Getraenke;Sekt / Champagner;Kattus Grand Cuvee;750;7,4;FALSE;1106;0;0;0
50493;Getraenke;Sekt / Champagner;Laurent Perrier Brut 0,2;200;28,6;TRUE;1109;0;0;0
50493;Getraenke;Sekt / Champagner;Laurent Perrier Brut 0,375;375;57,2;TRUE;1110;0;0;0
50493;Getraenke;Sekt / Champagner;Laurent Perrier Brut STOP;750;14,3;FALSE;1108;0;0;0
50493;Getraenke;Spirituose;APEROL Fl 1 l 100 EH;1000;7,5;FALSE;1490;0;0;0
50493;Getraenke;Spirituose;AVERNA Amaro Siciliano Fl 1 l;1000;5,9;FALSE;140;0;0;0
50493;Getraenke;Spirituose;Botanist Gin;700;7,5;FALSE;1457;0;0;0
50493;Getraenke;Spirituose;Brokers Gin 0,7 - 70 EH;700;9,9;FALSE;1487;0;0;0
50493;Getraenke;Spirituose;CAMPARI Bitter Fl 1 l 100 EH;1000;7,9;FALSE;1488;0;0;0
50493;Getraenke;Spirituose;Gin Mare Gin;700;9;FALSE;1455;0;0;0
50493;Getraenke;Spirituose;Martini Rosso Fl 0,75l 75 EH;750;9,9;FALSE;1480;0;0;0
50493;Getraenke;Spirituose;Monkey 47 Gin;500;9,5;FALSE;1456;0;0;0
50493;Getraenke;Spirituose;Ramazotti Rosato 0,7 l 70EH;750;7,5;FALSE;1481;0;0;0
50493;Getraenke;Spirituose;STOLICHNAYA  Vodka 40% Fl 0,7 l;700;7;FALSE;136;0;0;0
50493;Getraenke;Spirituose;The Macallan 12y Sherry Oak;700;12;FALSE;1479;0;0;0
50493;Getraenke;Wein;Chardonnay Unplugged Hannes Reeh;750;6,5;FALSE;1397;0;0;0
50493;Getraenke;Wein;Chianti Boccia Nera;750;5,5;FALSE;1452;0;0;0
50493;Getraenke;Wein;Gelber Muskateller Steinninger;750;6,5;FALSE;1451;0;0;0
50493;Getraenke;Wein;GV Rossatz Fischengruber;750;6,5;FALSE;1449;0;0;0
50493;Getraenke;Wein;Merlot Saltini;750;5;FALSE;1453;0;0;0
50493;Getraenke;Wein;NV Gemischter Satz, Weingut Mayer am Pfarrplatz, Wien;750;5,8;FALSE;1450;0;0;0
50493;Getraenke;Wein;Weisswein Burger Messwein 0,75 l;750;3,8;FALSE;606;0;0;0
50493;Getraenke;Wein;Zweigelt Pasler;750;5,5;FALSE;1454;0;0;0
50493;Getraenke;Wein;Zweigelt Unplugged Hannes Reeh;750;6,5;FALSE;1398;0;0;0
50493;Kaffee;Kaffee;Meinl Kaffee Bohne Brisol;1000;3,1;TRUE;1102;0;0;0
50493;Speisen;Dessert;Dreierlei Kaffee;0;3,9;TRUE;1412;0;0;0
50493;Speisen;Dessert;Opern-Eclair;0;3,9;TRUE;1411;0;0;0
50493;Speisen;Snack;Ballwuerstl BZ;0;6,9;TRUE;1471;0;0;0
50493;Speisen;Snack;Bresaola BZ;0;10,6;TRUE;1470;0;0;0
50493;Speisen;Snack;Caprese BZ;0;8,9;TRUE;1467;0;0;0
50493;Speisen;Snack;Rosmarin Toast BZ;0;8,9;TRUE;1472;0;0;0
